company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
JX ENTERPRISES LTD,14656445,ltd,12-02-2023,"[66300, 85600]",Longacre Warwick England CV34 6SL,3.5
WOOLLEY INVESTMENTS LTD,14973924,ltd,02-07-2023,[66300],90a Kingsgate Road Kingsgate Road London England NW6 4LA,3.5
PETL HOLDINGS LTD,14867651,ltd,15-05-2023,[66300],"Unit 3 Unit 3,  Hawthorn Business Park London England NW2 2AZ",3.5
ASSET BRIDGE LTD,16534348,ltd,23-06-2025,"[64301,66300, 96090]","C/O Unit B,  Greenhill House Peterborough United Kingdom PE3 6RU",3.5
HEJAZ CAPITAL UK LTD,15322838,ltd,01-12-2023,[66300],The Cabot London England E14 4QZ,3.5
MAKARIOS INVESTMENT GROUP LIMITED,NI679471,ltd,21-05-2021,[66300],4 Jubilee Road Newtownards Northern Ireland BT23 4WN,3.5
QUANTUM QB LTD,14738632,ltd,17-03-2023,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
7115 VCP LIMITED,14978993,ltd,04-07-2023,[66300],4th Floor 95 Chancery Lane London WC2A 1DT,3.5
XETA CAPITAL LIMITED,16389590,ltd,15-04-2025,"[64301,66110, 66300]",16389590 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,3.5
MOMODAYER LTD,16415981,ltd,29-04-2025,"[64991,66120, 66300]",16415981 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,3.5
ORANGE (IRELAND) LTD,NI676259,ltd,08-02-2021,[66300],14 Donegall Place Belfast Northern Ireland BT1 5BA,3.5
TRADE BAZAAR LTD,16273908,ltd,25-02-2025,"[66120, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
RYTON EQUITY LIMITED,13232946,ltd,27-02-2021,[66300],Serlby Hall Bawtry England DN10 6BA,3.5
FUSION RIVERS INVESTMENT COMPANY LTD,16282925,ltd,28-02-2025,"[64991,66300, 68100]",13 Burdon Lane Sutton England SM2 7PP,3.5
ARS EQUITIES LTD,16365219,ltd,04-04-2025,"[66120, 66300]",86-90 Paul Street London England EC2A 4NE,3.5
MORVEX FX LTD,16407055,ltd,24-04-2025,"[66110, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
ALPHA B INVESTMENTS CORP LTD,16389634,ltd,15-04-2025,"[66110, 66300]",1 Canada Square London England E14 5AB,3.5
SOWING OUR HORIZONS LIMITED,SC845055,ltd,14-04-2025,"[56290,62090, 66300]",'The Green House' Edinburgh Scotland EH4 1NR,3.5
NCI FINANCIAL CONCEPT LTD,16388237,ltd,15-04-2025,"[64992, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
SAGAX CAPITAL LIMITED,14787817,ltd,10-04-2023,[66300],"20,  Alcon Court,  Flat 4 Earlsfield Road London United Kingdom SW18 3DW",3.5
MIDDLETON BRAY GROUP HOLDINGS LTD,13812764,ltd,22-12-2021,[66300],Suite B First Floor Tourism House Exeter England EX2 5WS,3.5
LUXCESS GROUP LTD,16296571,ltd,06-03-2025,"[66110, 66300]",110 Bishopsgate London England EC2N 4AY,3.5
PRIMETIER CORP LTD,16425701,ltd,02-05-2025,"[66110, 66300]",110 Bishopsgate London England EC2N 4AY,3.5
CANVEY PILAH HOLDINGS LTD,16429564,ltd,06-05-2025,"[64209,65300, 66300]",82 Meadow Way Norwich United Kingdom NR6 6XX,3.5
BLACK BUSINESS FOUNDERS CIC,16167590,private-limited-guarant-nsc,07-01-2025,"[66300,70229, 78300]",6 Brewery Gardens Liverpool L25 3PB,3.5
ADAPTIC ASSET MANAGEMENT (UK) LIMITED,16806129,ltd,23-10-2025,"[62020, 66300]",12 Old Bond Street London England W1S 4PW,3.5
GRANITEMARK CORP LTD,16464597,ltd,21-05-2025,"[66110, 66300]",The Shard London England SE1 9SG,3.5
SPOSITO FAMILY OFFICE LIMITED,15011715,ltd,18-07-2023,[66300],167-169 Great Portland Street London United Kingdom W1W 5PF,3.5
BETTER CAPITAL INVEST LTD,16588671,ltd,17-07-2025,"[64205,64301, 66300]","7a The Close,  Barnhill Road Wembley England HA9 9BY",3.5
HENGWEI COMMERCIAL MANAGEMENT LIMITED,16615022,ltd,30-07-2025,"[64306,66300, 68209]","7 Copperfield Road,  Coventry West Midlands,  England United Kingdom CV2 4AQ",3.5
SOLOMON PAPAS CAPITAL LIMITED,16839957,ltd,07-11-2025,"[64304, 66300]",35 Ballards Lane London United Kingdom N3 1XW,3.5
JRC SOLUTIONS LIMITED,13737787,ltd,11-11-2021,[66300],33 King William Road Gillingham England ME7 1PD,3.5
AVALEX AM CONSULTANCY LTD,16866188,ltd,20-11-2025,"[64304, 66300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,3.5
EVENLODE IMPACT LIMITED,13673026,ltd,12-10-2021,[66300],Home Farm Barns Evenlode England GL56 0NY,3.5
QUOPI LTD,14590259,ltd,13-01-2023,[66300],1 Canada Square London England E14 5DY,3.5
CAPINC LIMITED,13130826,ltd,13-01-2021,[66300],36 Newsham Road Blyth England NE24 5RA,3.5
YOGIKTOKEN LIMITED,16877425,ltd,27-11-2025,"[64205, 66300]",128 City Road London United Kingdom EC1V 2NX,3.5
HASHUP LTD,16826925,ltd,03-11-2025,"[66120, 66300]",40 Bowling Green Lane London United Kingdom EC1R 0NE,3.5
CHIKARA INVESTMENTS UK LTD,15035199,ltd,28-07-2023,[66300],5-10 Bolton Street London United Kingdom W1J 8BA,3.5
