company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address,_drop_reason
BORDER TO COAST WARWICKSHIRE GP LIMITED,SC626609,active,ltd,,03-04-2019,03-04-2019,[66300],"C/O Addleshaw Goddard,  24 Edinburgh Scotland EH2 1AF",name pattern: GP entity
LEMAR AUTISM AND ADHD HUB C.I.C.,17251499,active,private-limited-guarant-nsc,community-interest-company,01-06-2026,01-06-2026,[66300],Flat 16 Sheldon Court London England SW8 2BE,only SIC 66300 + incorporated 2024 or later
MAVEN SEIF EQUITY GP LIMITED,SC890961,active,ltd,,27-05-2026,27-05-2026,[66300],Kintyre House Glasgow Scotland G2 2LW,name pattern: GP entity
VERTIS CONSUMER GROWTH LIMITED,17212846,active,ltd,,12-05-2026,12-05-2026,[66300],9 Appold Street London England EC2A 2AP,only SIC 66300 + incorporated 2024 or later
SIGNAL LOAN MANAGEMENT OPPORTUNITIES LIMITED,17145191,active,ltd,,09-04-2026,09-04-2026,[66300],4th Floor 25 Golden Square London United Kingdom W1F 9LU,only SIC 66300 + incorporated 2024 or later
"LCL ASSOCIATES III (EUROPE) SCT GP, LIMITED",SC611971,active,ltd,,,26-10-2018,[66300],First Floor Edinburgh Scotland EH3 8RY,name pattern: GP entity
VALCIA ASSET MANAGEMENT (UK) LTD,17147089,active,ltd,,09-04-2026,09-04-2026,[66300],45 Albemarle Street London England W1S 4JL,only SIC 66300 + incorporated 2024 or later
REINDEER 1 LIMITED,17150160,active,ltd,,10-04-2026,10-04-2026,[66300],10 Fenchurch Avenue London United Kingdom EC3M 5AG,only SIC 66300 + incorporated 2024 or later
SINDBAD TRADE LTD,17229223,active,ltd,,19-05-2026,19-05-2026,[66300],152-154 Walm Lane London England NW2 4RU,only SIC 66300 + incorporated 2024 or later
CAPEL ASSET MANAGEMENT LIMITED,17191384,active,ltd,,30-04-2026,30-04-2026,[66300],20 North Audley Street London England W1K 6WE,only SIC 66300 + incorporated 2024 or later
SCGB LIMITED,15964247,active,ltd,,18-09-2024,18-09-2024,[66300],2nd Floor Woolgate Exchange London England EC2V 5HA,only SIC 66300 + incorporated 2024 or later
SUMERIAN CATALYTIC CAPITAL LIMITED,17270822,active,ltd,,09-06-2026,09-06-2026,[66300],Two Temple Place London United Kingdom WC2R 3BD,only SIC 66300 + incorporated 2024 or later
BROOKFIELD GLOBAL INVESTMENTS LTD,16479952,active,ltd,,28-05-2025,28-05-2025,[66300],Flat 9 6 Ennismore Gardens London United Kingdom SW7 1NL,only SIC 66300 + incorporated 2024 or later
PADVINDER TWO LIMITED,17155815,active,ltd,,14-04-2026,14-04-2026,[66300],81 Faraday Road Wimbledon United Kingdom SW19 8PE,only SIC 66300 + incorporated 2024 or later
BECKFORD CAPITAL LIMITED,16598025,active,ltd,,22-07-2025,22-07-2025,[66300],A4g Suite Nepicar House Wrotham Heath United Kingdom TN15 7RS,only SIC 66300 + incorporated 2024 or later
IONA STAR WMD GENERAL PARTNER LIMITED,17153383,active,ltd,,13-04-2026,13-04-2026,[66300],13 Dirty Lane London England SE1 9PA,only SIC 66300 + incorporated 2024 or later
SEEDCAMP VII INVESTMENTS LTD,17283863,active,ltd,,18-06-2026,18-06-2026,[66300],12 Little Portland Street London United Kingdom W1W 8BJ,only SIC 66300 + incorporated 2024 or later
GVI LIFT BIDCO LIMITED,17030556,active,ltd,,12-02-2026,12-02-2026,[66300],Oribtal 7 Orbital Way Staffordshire United Kingdom WS11 8XW,name pattern: bidco
IPIF SPV1 LIMITED,17281870,active,ltd,,18-06-2026,18-06-2026,[66300],One London United Kingdom EC2R 5AA,only SIC 66300 + incorporated 2024 or later
MOYES INVESTMENTS INTERNATIONAL LTD,17292625,active,ltd,,21-06-2026,21-06-2026,[66300],The Colchester Centre Colchester England CO2 8JX,only SIC 66300 + incorporated 2024 or later
COLBY CAPITAL MANAGEMENT LIMITED,17294996,active,ltd,,22-06-2026,22-06-2026,[66300],46-54 High Street Ingatestone United Kingdom CM4 9DW,only SIC 66300 + incorporated 2024 or later
SOCIETAL LIMITED,17345787,active,ltd,,17-07-2026,17-07-2026,[66300],Capital Tower 91 London United Kingdom SE1 8RT,only SIC 66300 + incorporated 2024 or later
MOLE (BIDCO) LIMITED,12763266,active,ltd,,23-07-2020,23-07-2020,[66300],Fifth Floor London England W1W 5PF,name pattern: bidco
OXCAM ARC GLOBAL ENTERPRISE LIMITED,17313953,active,ltd,,02-07-2026,02-07-2026,[66300],Salisbury House Cambridge United Kingdom CB1 2LA,only SIC 66300 + incorporated 2024 or later
VECTOR MARKETS LTD,16839611,active,ltd,,07-11-2025,07-11-2025,[66300],34 Oakbeer Orchard Exeter England EX5 7BL,only SIC 66300 + incorporated 2024 or later
PSL ASSET MANAGEMENT LIMITED,17235604,active,ltd,,21-05-2026,21-05-2026,[66300],7th Floor 50 Broadway London United Kingdom SW1H 0DB,only SIC 66300 + incorporated 2024 or later
CHARIOT (TOPCO) LIMITED,14232501,active,ltd,,13-07-2022,13-07-2022,[66300],Fifth Floor London England W1W 5PF,name pattern: topco
CHARIOT (BIDCO) LIMITED,14234267,active,ltd,,14-07-2022,14-07-2022,[66300],Fifth Floor London England W1W 5PF,name pattern: bidco
TRIIA LIMITED,16898473,active,ltd,,08-12-2025,08-12-2025,[66300],"Sustainable Ventures,  County Hall County Hall London England SE1 7PB",only SIC 66300 + incorporated 2024 or later
SPARK NORTHWEST GP LIMITED,07409511,active,ltd,,15-10-2010,15-10-2010,[66300],Apartment 14 14 Duke Street Liverpool England L1 5GB,name pattern: GP entity
VERITION ADVISORS (UK) II LTD,13022150,active,ltd,,15-11-2020,15-11-2020,[66300],Lucent London United Kingdom W1F 7BL,name pattern: roman-numeral fund series suffix
BLAISE (MIDCO) LIMITED,17381236,active,ltd,,04-08-2026,04-08-2026,[66300],167-169 Great Portland Street London United Kingdom W1W 5PF,name pattern: midco
LUMARI ASSET MANAGEMENT LTD,16600009,active,ltd,,22-07-2025,22-07-2025,[66300],"Suite F1 Gemini Linford Wood Business Park,  Milton Keynes England MK14 6LQ",only SIC 66300 + incorporated 2024 or later
FARLANE CAPITAL LIMITED,15567436,active,ltd,,16-03-2024,16-03-2024,[66300],Hornbeam House East Molesey England KT8 9HH,only SIC 66300 + incorporated 2024 or later
BLIXON CAPITAL SERVICES LTD,17364664,active,ltd,,27-07-2026,27-07-2026,[66300],27 Old Gloucester Street London United Kingdom WC1N 3AX,only SIC 66300 + incorporated 2024 or later
NORTH EAST FINANCE (HOLDCO) LIMITED,07000577,active,ltd,,25-08-2009,25-08-2009,[66300],"5th Floor,  West One Newcastle Upon Tyne England NE1 3PA",name pattern: holdco
GEOMETRIC ADVISORS UK LIMITED,16537314,active,ltd,,24-06-2025,24-06-2025,[66300],The Pump House Winchester England SO23 9QG,only SIC 66300 + incorporated 2024 or later
HUTCHINSON APAC LIMITED,17308643,active,ltd,,30-06-2026,30-06-2026,[66300],32a Lloyd Road London England E6 2HR,only SIC 66300 + incorporated 2024 or later
DOUBLE BLACK PARTNERS LIMITED,16301406,active,ltd,,07-03-2025,07-03-2025,[66300],Centralis 25 Western Avenue Oxfordshire United Kingdom OX14 4SH,only SIC 66300 + incorporated 2024 or later
ELBOW BEACH CLIMATE IMPACT II GP LIMITED,16079388,active,ltd,,14-11-2024,14-11-2024,[66300],27-29 Union Street London United Kingdom SE1 1SD,name pattern: GP entity
JILAN AUTOMATION HUB LTD,16432087,active,ltd,,06-05-2025,06-05-2025,[66300],16432087 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,only SIC 66300 + incorporated 2024 or later
FORTE WEALTH PARTNERS LIMITED,17181281,active,ltd,,27-04-2026,27-04-2026,[66300],55 Abbeygate Street Bury St Edmunds England IP33 1LB,only SIC 66300 + incorporated 2024 or later
NJORD PARTNERS SMA-SEAL GP LIMITED,09116959,active,ltd,,04-07-2014,04-07-2014,[66300],10 Lower James Street London England W1F 9EL,name pattern: GP entity
ECI 13 NOMINEES LIMITED,17338519,active,ltd,,14-07-2026,14-07-2026,[66300],80 Strand London United Kingdom WC2R 0DT,name pattern: nominee entity
ELBOW BEACH CLIMATE IMPACT NOMINEE LIMITED,16079576,active,ltd,,14-11-2024,14-11-2024,[66300],27-29 Union Street London England SE1 1SD,name pattern: nominee entity
OAKHURST TRADING LIMITED,17186768,active,ltd,,28-04-2026,28-04-2026,[66300],Oakhurst Saffron Walden England CB11 4RY,only SIC 66300 + incorporated 2024 or later
BORDER TO COAST WEST SUSSEX GP LIMITED,SC886949,active,ltd,,20-04-2026,20-04-2026,[66300],"C/O Addleshaw Goddard,  24 Edinburgh Scotland EH2 1AF",name pattern: GP entity
ARJUN INFRASTRUCTURE PARTNERS II LIMITED,09429375,active,ltd,,09-02-2015,09-02-2015,[66300],"Aspect House,  Theale Lakes Business Park Reading England RG7 4GB",name pattern: roman-numeral fund series suffix
CAPITAL DYNAMICS MMDVI UK LIMITED,17393774,active,ltd,,11-08-2026,11-08-2026,[66300],One Snowhill Birmingham England B4 6GB,only SIC 66300 + incorporated 2024 or later
VONIXFUSION LTD,17399326,active,ltd,,13-08-2026,13-08-2026,[66300],13 First Avenue London England W3 7JP,only SIC 66300 + incorporated 2024 or later
FUTURE LONDON QAHC LIMITED,17395506,active,ltd,,12-08-2026,12-08-2026,[66300],Linea Fleet England GU51 2UZ,only SIC 66300 + incorporated 2024 or later
L-CUBED LTD,16784716,active,ltd,,14-10-2025,14-10-2025,[66300],10 Queen Street Place London United Kingdom EC4R 1AG,only SIC 66300 + incorporated 2024 or later
AVIVA INVESTORS ENERGY CENTRES NO.1 GP LIMITED,08322963,active,ltd,,07-12-2012,07-12-2012,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,name pattern: GP entity
AI SPECIAL PFI SPV LIMITED,08090755,active,ltd,,31-05-2012,31-05-2012,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,name pattern: SPV
NORVESTOR ADVISORY LTD,15753154,active,ltd,,31-05-2024,31-05-2024,[66300],16 Great Queen Street London United Kingdom WC2B 5AH,only SIC 66300 + incorporated 2024 or later
EQUILIBRIUM INVESTMENTS NOMINEE LIMITED,09572883,active,ltd,,05-05-2015,05-05-2015,"[64204, 66300]",83 Kimbolton Road Rushden England NN10 8HL,name pattern: nominee entity
PEMBROKE NOMINEES LIMITED,02825462,active,ltd,,09-06-1993,09-06-1993,[66300],1 Pembroke Rd Bristol BS8 3AU,name pattern: nominee entity
FSE IFS DEBT GP LIMITED,14874902,active,ltd,,17-05-2023,17-05-2023,[66300],First Floor Linea House Fleet England GU51 2UZ,name pattern: GP entity
HYPHA I (SCOTLAND) LTD,SC808329,active,ltd,,25-04-2024,25-04-2024,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,only SIC 66300 + incorporated 2024 or later
5 ST PATRICK’S ROAD SOUTH LTD,15742575,active,private-limited-guarant-nsc,,25-05-2024,25-05-2024,[66300],41 Orchard Close Ware England SG12 8AH,only SIC 66300 + incorporated 2024 or later
ADAXIA CAPITAL PRIVATE EQUITY (GP) LIMITED,06258515,active,ltd,,24-05-2007,24-05-2007,[66300],Dawes Road Hub C/O Adaxia Capital Partners London United Kingdom SW6 7EN,name pattern: GP entity
TECHSTART NI GP 3 LIMITED,SC479979,active,ltd,,12-06-2014,12-06-2014,[66300],C/O Cms Cameron Mckenna Naborro Olswang Llp Saltire Court Edinburgh Scotland EH1 2EN,name pattern: GP entity
SQUAREPOINT UK HOLDCO 1 LIMITED,09002384,active,ltd,,17-04-2014,17-04-2014,[66300],One Ropemaker Street London United Kingdom EC2Y 9AW,name pattern: holdco
SQUAREPOINT UK HOLDCO 2 LIMITED,09002478,active,ltd,,17-04-2014,17-04-2014,[66300],One Ropemaker Street London United Kingdom EC2Y 9AW,name pattern: holdco
WAYPARK NOMINEE 1 LIMITED,14355220,active,ltd,,14-09-2022,14-09-2022,[66300],17-19 Maddox Street London United Kingdom W1S 2QH,name pattern: nominee entity
EXPONENT PRIVATE EQUITY FOUNDER PARTNER GP LIMITED,05152983,active,ltd,,14-06-2004,14-06-2004,[66300],30 Broadwick Street London England W1F 8JB,name pattern: GP entity
BGF IRELAND GP LIMITED,10657192,active,ltd,,07-03-2017,07-03-2017,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: GP entity
GORE STREET JAPAN HOLDINGS LIMITED,15425240,active,ltd,,18-01-2024,18-01-2024,[66300],First Floor London United Kingdom W1W 8BP,only SIC 66300 + incorporated 2024 or later
PRIMARY CAPITAL V (NOMINEES) LIMITED,12084097,active,ltd,,03-07-2019,03-07-2019,"[64205,64209, 66300]",Augustine House London United Kingdom EC2N 2HA,name pattern: nominee entity
MARLBOROUGH NOMINEE LIMITED,10826027,active,ltd,,19-06-2017,19-06-2017,"[64999,66300, 82990]",Marlborough House Bolton United Kingdom BL1 4QP,name pattern: nominee entity
FORESIGHT NF GP LIMITED,08571108,active,ltd,,17-06-2013,17-06-2013,[66300],C/O Foresight Group Llp The Shard London United Kingdom SE1 9SG,name pattern: GP entity
UK OM (LP2) (GP) LIMITED,06605594,active,ltd,,29-05-2008,29-05-2008,[66300],9th Floor 201 Bishopsgate London EC2M 3BN,name pattern: GP entity
GAD GULLY LTD,15771164,active,ltd,,11-06-2024,11-06-2024,[66300],"Number Ten,  Elm Court Stratford-Upon-Avon United Kingdom CV37 6PA",only SIC 66300 + incorporated 2024 or later
BGF UKEF 3 NOMINEES LIMITED,14831749,active,ltd,,27-04-2023,27-04-2023,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: nominee entity
BGF UKEF 2 NOMINEES LIMITED,13995643,active,ltd,,22-03-2022,22-03-2022,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: nominee entity
LIMERSTON CAPITAL PARTNERS LIMITED,15610168,active,ltd,,02-04-2024,02-04-2024,[66300],12-18 Grosvenor Gardens London England SW1W 0DH,only SIC 66300 + incorporated 2024 or later
BGF UK ENTERPRISE FUND 1 NOMINEES LIMITED,12892127,active,ltd,,21-09-2020,21-09-2020,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: nominee entity
NIMROOD LTD,15865417,active,ltd,,30-07-2024,30-07-2024,[66300],"Medco,  Medco House,  Unit 1 Woking United Kingdom GU21 5LY",only SIC 66300 + incorporated 2024 or later
BOKA CAPITAL LTD,15838813,active,ltd,,15-07-2024,15-07-2024,[66300],Devonshire House London England W1J 8AJ,only SIC 66300 + incorporated 2024 or later
COURTIERS PEP NOMINEE LIMITED,04859001,active,ltd,,07-08-2003,07-08-2003,[66300],18a Hart Street Oxfordshire RG9 2AU,name pattern: nominee entity
SIBNER INVESTMENT MANAGEMENT LTD,15678009,active,ltd,,24-04-2024,24-04-2024,[66300],43 Kelvedon Road London United Kingdom SW6 5BP,only SIC 66300 + incorporated 2024 or later
SEGADA GP LIMITED,14242902,active,ltd,,19-07-2022,19-07-2022,[66300],Third Floor Exchange Tower London United Kingdom E14 9GE,name pattern: GP entity
MAVEN SWIF EQUITY GP LIMITED,SC772546,active,ltd,,13-06-2023,13-06-2023,[66300],Kintyre House Glasgow Scotland G2 2LW,name pattern: GP entity
PROMETHIUM ONE LTD,15778188,active,ltd,,14-06-2024,14-06-2024,[66300],"2nd Floor College House Ruislip,  United Kingdom HA4 7AE",only SIC 66300 + incorporated 2024 or later
AC OVERSEAS LIMITED,15820927,active,ltd,,05-07-2024,05-07-2024,[66300],8th Floor 100 Bishopsgate London England EC2N 4AG,only SIC 66300 + incorporated 2024 or later
DURDLE DOOR CAPITAL LTD,15907768,active,ltd,,20-08-2024,20-08-2024,[66300],Unit 82a James Carter Road Bury St. Edmunds England IP28 7DE,only SIC 66300 + incorporated 2024 or later
LEGAL & GENERAL UK BTR INVESTMENT NOMINEE LIMITED,13199347,active,ltd,,12-02-2021,12-02-2021,[66300],One Coleman Street London United Kingdom EC2R 5AA,name pattern: nominee entity
FORE SIERRA GP LIMITED,08186780,active,ltd,,21-08-2012,21-08-2012,[66300],"C/O Goringe Accountants Ltd,  Waterside,  1650 Arlington Business Park Reading United Kingdom RG7 4SA",name pattern: GP entity
WATLING GRANGE HARROGATE GP LIMITED,13796265,active,ltd,,13-12-2021,13-12-2021,[66300],"C/O Aztec Financial Services (Uk) Limited Forum 4,  Solent Business Park Fareham United Kingdom PO15 7AD",name pattern: GP entity
HUGHES HOUSE LIVERPOOL GP LIMITED,13165884,active,ltd,,28-01-2021,28-01-2021,[66300],"C/O Aztec Financial Services (Uk) Limited Forum 4,  Solent Business Park Fareham United Kingdom PO15 7AD",name pattern: GP entity
MML HOLDCO 7 LTD,11842850,active,ltd,,22-02-2019,22-02-2019,[66300],Orion House London WC2H 9EA,name pattern: holdco
HAVEN NOMINEES LIMITED,04288962,active,ltd,,18-09-2001,18-09-2001,[66300],23 King Street London SW1Y 6QY,name pattern: nominee entity
ELYSIAN CAPITAL GP III (SCOTLAND) LIMITED,SC659650,active,ltd,,21-04-2020,21-04-2020,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
STANLEY MANAGEMENT LIMITED,15887745,active,ltd,,09-08-2024,09-08-2024,[66300],"Streets Steele Stanway House,  Almondsbury Bristol United Kingdom BS32 4QH",only SIC 66300 + incorporated 2024 or later
SPECTRUM FIBRE MIDCO LIMITED,12875875,active,ltd,,13-09-2020,13-09-2020,[66300],Hodge House Cardiff Wales CF10 1DY,name pattern: midco
BAYRIDGE INVESTMENTS LTD,15919487,active,ltd,,27-08-2024,27-08-2024,[66300],9 Greenriggs Avenue Newcastle Upon Tyne England NE3 5QH,only SIC 66300 + incorporated 2024 or later
IQCP V A1 LIMITED,15886953,active,ltd,,08-08-2024,08-08-2024,[66300],45 Whitfield Street London England W1T 4HD,only SIC 66300 + incorporated 2024 or later
L&G AFFORDABLE HOUSING NORTHERN GP LIMITED,15897590,active,ltd,,14-08-2024,14-08-2024,[66300],One London United Kingdom EC2R 5AA,name pattern: GP entity
L&G AFFORDABLE HOUSING ACCESS GP LIMITED,15897574,active,ltd,,14-08-2024,14-08-2024,[66300],One London United Kingdom EC2R 5AA,name pattern: GP entity
STAFFORD INTERNATIONAL TIMBERLAND V GP LIMITED,06698047,active,ltd,,15-09-2008,15-09-2008,[66300],Level 6 Duo London England EC2M 4RB,name pattern: GP entity
THE NEW SILK ROAD (BIDCO) MANAGEMENT COMPANY LIMITED,13500168,active,ltd,,08-07-2021,08-07-2021,"[66300,68320,70221, 70229]",12 Raleigh Close Nottingham England NG11 8RP,name pattern: bidco
WHITEBOX ADVISORS UK HOLDINGS LTD,15965338,active,ltd,,18-09-2024,18-09-2024,[66300],Standbrook House London United Kingdom W1S 4PD,only SIC 66300 + incorporated 2024 or later
REZONATE MASTERS LIMITED,15413921,active,ltd,,15-01-2024,15-01-2024,[66300],Lifford Hall Lifford Lane Birmingham United Kingdom B30 3JN,only SIC 66300 + incorporated 2024 or later
SEEDCAMP V (SCOT) LIMITED,SC673465,active,ltd,,08-09-2020,08-09-2020,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: roman-numeral fund series suffix
ARCHIPELAGO CIRCULAR ECONOMY GP LIMITED,15975873,active,ltd,,24-09-2024,24-09-2024,[66300],87 Pemberton Road London England N4 1AY,name pattern: GP entity
BLC I NOMINEE LTD,12419325,active,ltd,,22-01-2020,22-01-2020,[66300],25 Southampton Buildings London United Kingdom WC2A 1AL,name pattern: nominee entity
SHACKLETON SECONDARIES 3 GP LIMITED,SC468619,active,ltd,,29-01-2014,29-01-2014,[66300],Thistle Court Edinburgh Scotland EH2 1DD,name pattern: GP entity
HIGHLINE INVESTMENTS GP LIMITED,09825710,active,ltd,,15-10-2015,15-10-2015,[66300],C/O Tmf Group 13th Floor London United Kingdom EC2R 7HJ,name pattern: GP entity
PENTECH GP HOLDINGS LIMITED,SC381985,active,ltd,,14-07-2010,14-07-2010,[66300],19 Ormidale Terrace Edinburgh Scotland EH12 6DY,name pattern: GP entity
COACH HOUSE SETTLEMENT (NO 3) GP LIMITED,11051398,active,ltd,,07-11-2017,07-11-2017,[66300],White House Church Lane Winchester United Kingdom SO21 2NJ,name pattern: GP entity
KINDRED CAPITAL III GP LIMITED,14175017,active,ltd,,15-06-2022,15-06-2022,[66300],Percy House 1st Floor West London England W1T 1QU,name pattern: GP entity
BLUE SKY FAMILY WEALTH MANAGEMENT LTD,15804445,active,ltd,,26-06-2024,26-06-2024,[66300],Btc House Chapel Hill Preston United Kingdom PR3 3JY,only SIC 66300 + incorporated 2024 or later
FSE NOMINEES LIMITED,11705665,active,ltd,,30-11-2018,30-11-2018,[66300],First Floor Linea House Fleet England GU51 2UZ,name pattern: nominee entity
BERWYN LAKELANDS LTD,15841877,active,ltd,,16-07-2024,16-07-2024,[66300],Ty Isaf Llanfyllin Wales SY22 5JB,only SIC 66300 + incorporated 2024 or later
EM3 SME FINANCE II LIMITED,09432696,active,ltd,,10-02-2015,10-02-2015,[66300],First Floor Linea House Fleet England GU51 2UZ,name pattern: roman-numeral fund series suffix
ACTIS MARATHON OGH2 LIMITED,15626961,active,ltd,,08-04-2024,08-04-2024,[66300],C/O Alter Domus (Uk) Limited 10th Floor London United Kingdom EC3A 8BF,only SIC 66300 + incorporated 2024 or later
EQUITIX ENERGY EFFICIENCY EPS GP 1 LIMITED,SC445425,active,ltd,,19-03-2013,19-03-2013,[66300],Citypoint Edinburgh Scotland EH12 5HD,name pattern: GP entity
TRANSITION GLOBAL SERVICES I LIMITED,13968669,active,ltd,,10-03-2022,10-03-2022,[66300],4th Floor 5 Carnaby Street London United Kingdom W1F 9PB,name pattern: roman-numeral fund series suffix
7PERCENT VENTURES GP LIMITED,11710834,active,ltd,,04-12-2018,04-12-2018,[66300],59 St. Martin's Lane London England WC2N 4JS,name pattern: GP entity
"HPS INVESTMENT PARTNERS (UK) I, LTD.",06450720,active,ltd,,,11-12-2007,[66300],"N2,  Floor 10 9 Bressenden Place London England SW1E 5BY",name pattern: roman-numeral fund series suffix
LGPS CENTRAL LP (FEEDER) LIMITED,11600521,active,ltd,,02-10-2018,02-10-2018,[66300],1st Floor I9 Wolverhampton United Kingdom WV1 1LD,name pattern: feeder vehicle
STRIDE VENTURES UK ADVISORS LTD,15709283,active,ltd,,08-05-2024,08-05-2024,[66300],9-11 New Broadway London England W5 5AW,only SIC 66300 + incorporated 2024 or later
API COTSWOLDS HILLS INVESTMENTS LIMITED,15534296,active,ltd,,01-03-2024,01-03-2024,[66300],29 York Street London England W1H 1EZ,only SIC 66300 + incorporated 2024 or later
GOOD MARKETS MANAGEMENT LTD,15602891,active,ltd,,29-03-2024,29-03-2024,[66300],5 The Heights Weybridge England KT13 0NY,only SIC 66300 + incorporated 2024 or later
BARRINGTON ASSET MANAGEMENT LIMITED,15951385,active,ltd,,11-09-2024,11-09-2024,[66300],Oak Tree House Potton End St. Neots England PE19 6TH,only SIC 66300 + incorporated 2024 or later
MERCURI II GP LIMITED,14630694,active,ltd,,01-02-2023,01-02-2023,[66300],Kings Place London United Kingdom N1 9GU,name pattern: GP entity
SIGNATURE SLP GP LIMITED,SC497155,active,ltd,,06-02-2015,06-02-2015,[66300],C/O 10th Floor Glasgow Scotland G3 8HB,name pattern: GP entity
KEY CAPITAL PARTNERS GP IX LIMITED,12984883,active,ltd,,29-10-2020,29-10-2020,[66300],13 Park Place Leeds United Kingdom LS1 2SJ,name pattern: GP entity
ASPIRE NORTH WEST LIMITED,15927014,active,ltd,,30-08-2024,30-08-2024,[66300],Unit 29 Highcroft Industrial Estate Enterprise Road Waterlooville United Kingdom PO8 0BT,only SIC 66300 + incorporated 2024 or later
APOLLO INTERNATIONAL FINANCE III LTD,15161652,active,ltd,,25-09-2023,25-09-2023,[66300],1 Soho Place London United Kingdom W1D 3BG,name pattern: roman-numeral fund series suffix
BLACKROCK DIVERSIFIED PRIVATE DEBT FUND GP LIMITED,SC680149,active,ltd,,06-11-2020,06-11-2020,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
FELIX MANAGEMENT I LIMITED,SC495997,active,ltd,,26-01-2015,26-01-2015,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: roman-numeral fund series suffix
CIM CSL GP LIMITED,15442813,active,ltd,,25-01-2024,25-01-2024,[66300],25 Maddox Street London United Kingdom W1S 2QN,name pattern: GP entity
MVM (GP) (NO.4A) LIMITED,08974232,active,ltd,,02-04-2014,02-04-2014,[66300],38 Wigmore Street London England W1U 2RU,name pattern: GP entity
MVM (GP) (NO.6A) LIMITED,13858188,active,ltd,,19-01-2022,19-01-2022,"[64209, 66300]",38 38 Wigmore Street London England W1U 2RU,name pattern: GP entity
MVM (GP) (NO.6B) LIMITED,13858360,active,ltd,,19-01-2022,19-01-2022,"[64209, 66300]",38 38 Wigmore Street London England W1U 2RU,name pattern: GP entity
MVM (GP) (NO.4B) LIMITED,08973834,active,ltd,,02-04-2014,02-04-2014,[66300],38 Wigmore Street London England W1U 2RU,name pattern: GP entity
STAKEHOLDERS BUSINESS LTD,16079367,active,ltd,,14-11-2024,14-11-2024,[66300],7a The Close Wembley England HA9 9BY,only SIC 66300 + incorporated 2024 or later
MVM (GP) (NO.3) LIMITED,05959376,active,ltd,,06-10-2006,06-10-2006,[66300],38 Wigmore Street London England W1U 2RU,name pattern: GP entity
EKA II (SCOTLAND) LTD,SC829083,active,ltd,,15-11-2024,15-11-2024,[66300],C/O Brodies Llp Capital Square Edinburgh United Kingdom EH3 8BP,only SIC 66300 + incorporated 2024 or later
CHEEKYPEACH LTD,16090825,active,ltd,,20-11-2024,20-11-2024,[66300],128 City Road London United Kingdom EC1V 2NX,only SIC 66300 + incorporated 2024 or later
HENLEY GP LIMITED,13354491,active,ltd,,23-04-2021,23-04-2021,[66300],112-116 New Oxford Street London England WC1A 1HH,name pattern: GP entity
LG CAPITAL PARTNERS LIMITED,16095086,active,ltd,,22-11-2024,22-11-2024,[66300],F3 Bench London United Kingdom SE1 0QX,only SIC 66300 + incorporated 2024 or later
GLASSHOUSE TEAM MANAGEMENT 2 LTD,16035737,active,ltd,,23-10-2024,23-10-2024,[66300],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,only SIC 66300 + incorporated 2024 or later
THE FORT FLIES,16034824,active,private-unlimited,,22-10-2024,22-10-2024,[66300],Staverton Court Cheltenham GL51 0UX,only SIC 66300 + incorporated 2024 or later
DRAGON (HOLDCO) LIMITED,12860891,active,ltd,,07-09-2020,07-09-2020,[66300],Hodge House Cardiff Wales CF10 1DY,name pattern: holdco
GREEN FINANCE INVESTMENT SOLUTIONS LTD,16039793,active,ltd,,24-10-2024,24-10-2024,[66300],International House London EC3V 3NG,only SIC 66300 + incorporated 2024 or later
DOF UK MERIDIA HOLDINGS IV LIMITED,10996879,active,ltd,,04-10-2017,04-10-2017,[66300],C/O Siguler Guff Uk Llp 17 Albemarle Street London England W1S 4HP,name pattern: roman-numeral fund series suffix
DOF UK MERIDIA HOLDINGS V LIMITED,10996890,active,ltd,,04-10-2017,04-10-2017,[66300],45 Pall Mall 45 Pall Mall London United Kingdom SW1Y 5JG,name pattern: roman-numeral fund series suffix
UK FTF GP LIMITED,SC372585,active,ltd,,08-02-2010,08-02-2010,[66300],"4th Floor,  7 Castle Street,  Edinburgh Edinburgh Scotland EH2 3AH",name pattern: GP entity
SUPER DRUMMOND LP (GP) LIMITED,SC436484,active,ltd,,09-11-2012,09-11-2012,"[66300, 74990]",50 Lothian Road Edinburgh EH3 9WJ,name pattern: GP entity
GRANDAGE HOLDINGS,16018397,active,private-unlimited,,15-10-2024,15-10-2024,[66300],180 Blythe Road London W14 0HD,only SIC 66300 + incorporated 2024 or later
