company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address,_drop_reason
THP GP LTD,13791741,active,ltd,,09-12-2021,09-12-2021,[66300],"Level 4,  Dashwood House London United Kingdom EC2M 1QS",name pattern: GP entity
UCI GP III LIMITED,NI724630,active,ltd,,13-12-2024,13-12-2024,[66300],Sixth Floor Glengall Exchange Belfast Northern Ireland BT12 5AB,name pattern: GP entity
OC I SCOTCO LIMITED,SC828840,active,ltd,,13-11-2024,13-11-2024,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,only SIC 66300 + incorporated 2024 or later
MAVEN CO-INVEST GP LIMITED,SC374365,active,ltd,,08-03-2010,08-03-2010,[66300],Kintyre House Glasgow G2 2LW,name pattern: GP entity
RESA GP NO.1 LIMITED,14468068,active,ltd,,07-11-2022,07-11-2022,[66300],C/O Regenerate Group 2nd Floor Marshalls Mill Leeds United Kingdom LS11 9YJ,name pattern: GP entity
AGI INVESTMENTS NO3 LIMITED,16084992,active,ltd,,18-11-2024,18-11-2024,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
AGI INVESTMENTS NO1 LIMITED,16084986,active,ltd,,18-11-2024,18-11-2024,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
SLATE ASSET MANAGEMENT (UK) LIMITED,16073290,active,ltd,,11-11-2024,11-11-2024,[66300],25 Maddox Street London United Kingdom W1S 2QN,only SIC 66300 + incorporated 2024 or later
FYI LOAN GP LIMITED,13705049,active,ltd,,26-10-2021,26-10-2021,[66300],First Floor Linea House Fleet England GU51 2UZ,name pattern: GP entity
SR TRANSFERS AND BARBERS CAFE LTD,16102110,active,ltd,,26-11-2024,26-11-2024,[66300],11 Croft Street Hyde United Kingdom SK14 1LH,only SIC 66300 + incorporated 2024 or later
LVP SEED (TRUSTEE) I LIMITED,12996199,active,ltd,,04-11-2020,04-11-2020,[66300],25 Eccleston Place London England SW1W 9NF,name pattern: roman-numeral fund series suffix
TLLF GP LTD,16329025,active,ltd,,19-03-2025,19-03-2025,[66300],72 Broadwick Street London United Kingdom W1F 9QZ,name pattern: GP entity
OPG CAPITAL LIMITED,16334688,active,ltd,,21-03-2025,21-03-2025,[66300],68 Elm Park Gardens London United Kingdom SW10 9PB,only SIC 66300 + incorporated 2024 or later
GLASSHOUSE TEAM MANAGEMENT 3 LTD,16248114,active,ltd,,12-02-2025,12-02-2025,[66300],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,only SIC 66300 + incorporated 2024 or later
GLOBAL TRADER5 LIMITED,16340413,active,ltd,,25-03-2025,25-03-2025,[66300],38 Whitfield Road London England E6 1AS,only SIC 66300 + incorporated 2024 or later
NE DEBT FUND CARRIED INTEREST PARTNER LIMITED,15481395,active,ltd,,11-02-2024,11-02-2024,[66300],Unit 4 Enterprise House Kingsway Gateshead United Kingdom NE11 0SR,only SIC 66300 + incorporated 2024 or later
WILLIAM EDMONDSON ACCIDENT MANAGEMENT LIMITED,16406801,active,ltd,,24-04-2025,24-04-2025,[66300],9 Forge Street Bootle England L20 8PY,only SIC 66300 + incorporated 2024 or later
PASSION CAPITAL NOMINEES II LIMITED,15546005,active,ltd,,07-03-2024,07-03-2024,[66300],"Second Floor,  Laxmi,  The Tanneries London United Kingdom SE1 3XJ",name pattern: nominee entity
GLASGOGEMS PVT LIMITED,16372726,active,ltd,,08-04-2025,08-04-2025,[66300],Office 070425 - Unit 21 Woodside Industrial Estate Woodside Epping England CM16 6LJ,only SIC 66300 + incorporated 2024 or later
ENNIS FAMILY INVESTMENTS LTD,15649406,active,ltd,,15-04-2024,15-04-2024,[66300],Brook House Kingswinford England DY6 9HS,only SIC 66300 + incorporated 2024 or later
GLOBE UK CO-INVEST LIMITED,10735412,active,ltd,,21-04-2017,21-04-2017,[66300],5th Floor 10 Brook Street London United Kingdom W1S 1BG,name pattern: co-invest vehicle
AVIVA INVESTORS INFRASTRUCTURE INCOME NO.6D LIMITED,15614482,active,ltd,,03-04-2024,03-04-2024,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,only SIC 66300 + incorporated 2024 or later
ADVISMART LTD,16384948,active,ltd,,14-04-2025,14-04-2025,[66300],Apartment 2 1414 High Road London England N20 9FL,only SIC 66300 + incorporated 2024 or later
DNA9 LTD,16393627,active,ltd,,17-04-2025,17-04-2025,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
HAMILTON HOUSE CAPITAL LIMITED,16402867,active,ltd,,23-04-2025,23-04-2025,[66300],8-10 South Street Epsom England KT18 7PF,only SIC 66300 + incorporated 2024 or later
HILL RISE CAPITAL LIMITED,15690159,active,ltd,,29-04-2024,29-04-2024,[66300],167-169 Great Portland Street London England W1W 5PF,only SIC 66300 + incorporated 2024 or later
GORE STREET INVESTMENT MANAGEMENT LIMITED,15381581,active,ltd,,02-01-2024,02-01-2024,[66300],First Floor London United Kingdom W1W 8BP,only SIC 66300 + incorporated 2024 or later
VESPA CAPITAL IV GP 2 LTD,16225742,active,ltd,,03-02-2025,03-02-2025,[66300],3 St. James’S Square London United Kingdom SW1Y 4JU,name pattern: GP entity
3I GP 2019 LIMITED,11929444,active,ltd,,05-04-2019,05-04-2019,"[64205, 66300]",1 Knightsbridge London United Kingdom SW1X 7LX,name pattern: GP entity
3I GP 2022 LIMITED,13864514,active,ltd,,21-01-2022,21-01-2022,"[64205, 66300]",1 Knightsbridge London United Kingdom SW1X 7LX,name pattern: GP entity
PIPVO ASSET MANAGEMENT LTD,15790018,active,ltd,,20-06-2024,20-06-2024,[66300],Venta House Newport Wales NP20 2NS,only SIC 66300 + incorporated 2024 or later
3I ZEPHYR GP (2022) LIMITED,14432006,active,ltd,,20-10-2022,20-10-2022,"[64205, 66300]",1 Knightsbridge London United Kingdom SW1X 7LX,name pattern: GP entity
LEXHAM SPV 1 GP LTD,15416357,active,ltd,,16-01-2024,16-01-2024,[66300],"C/O Thompson Taraz Llp 4th Floor,  Stanhope House London England W1K 1PR",name pattern: GP entity
ALCHEMY INVESTORS LTD,16245439,active,ltd,,11-02-2025,11-02-2025,[66300],49 Station Road Polegate England BN26 6EA,only SIC 66300 + incorporated 2024 or later
DISCOVERY PARK TECHNOLOGY INVESTMENTS (GP) LIMITED,09917732,active,ltd,,15-12-2015,15-12-2015,[66300],The Business Terrace Maidstone England ME15 6AW,name pattern: GP entity
CONDATE SERVICES LIMITED,15488952,active,ltd,,14-02-2024,14-02-2024,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
VE1 CAV HOLDCO LIMITED,16274272,active,ltd,,25-02-2025,25-02-2025,[66300],C/O Visionedge One London United Kingdom W1J 7DZ,name pattern: holdco
CATALYSTFM (UK) LIMITED,16274473,active,ltd,,25-02-2025,25-02-2025,[66300],C/O Buzzacott Llp London United Kingdom EC2V 6DL,only SIC 66300 + incorporated 2024 or later
CAV UK JV LIMITED,16275581,active,ltd,,25-02-2025,25-02-2025,[66300],C/O Visionedge One London United Kingdom W1J 7DZ,only SIC 66300 + incorporated 2024 or later
EWKIN ALTERNATIVES LTD,15520931,active,ltd,,26-02-2024,26-02-2024,[66300],Unit 7 Stanley Court Witney England OX29 0TB,only SIC 66300 + incorporated 2024 or later
GLORY LIMITED GROUP LTD,16281397,active,ltd,,27-02-2025,27-02-2025,[66300],"1 Ropemaker St,  Barbican London United Kingdom EC2Y 9AW",only SIC 66300 + incorporated 2024 or later
L & E CAMBREY LTD,16280551,active,ltd,,27-02-2025,27-02-2025,[66300],Ty Cambrey Llanelli Wales SA15 1EB,only SIC 66300 + incorporated 2024 or later
VESPA CAPITAL IV GP 1 LTD,16225623,active,ltd,,03-02-2025,03-02-2025,[66300],3 St. James’S Square London United Kingdom SW1Y 4JU,name pattern: GP entity
BBB MANDATES LIMITED,16284145,active,ltd,,28-02-2025,28-02-2025,[66300],Steel City House Sheffield United Kingdom S1 2GQ,only SIC 66300 + incorporated 2024 or later
13 CAPITAL MANAGEMENT LIMITED,16250008,active,ltd,,13-02-2025,13-02-2025,[66300],Acre House London United Kingdom NW1 3ER,only SIC 66300 + incorporated 2024 or later
PRINCIPIUM MERCATUS NEXUS LTD,16288407,active,ltd,,03-03-2025,03-03-2025,[66300],25 Beaulieu Place London United Kingdom W4 5SY,only SIC 66300 + incorporated 2024 or later
LCRSF GENERAL PARTNER LTD,16298311,active,ltd,,06-03-2025,06-03-2025,[66300],C/O Weightmans Liverpool England L3 9QJ,only SIC 66300 + incorporated 2024 or later
ENTREPRENEURS FIRST GP (SINGAPORE) LIMITED,09912137,active,ltd,,11-12-2015,11-12-2015,[66300],International House London England N1 7SR,name pattern: GP entity
GARNET LIMITED FINANCE LTD,16286403,active,ltd,,03-03-2025,03-03-2025,[66300],"4th Floor,  Silverstream House 45 Fitzroy Street London England W1T 6EB",only SIC 66300 + incorporated 2024 or later
ENTREPRENEURS FIRST FOUNDER GP LIMITED,SC493957,active,ltd,,23-12-2014,23-12-2014,"[64303, 66300]",5 South Charlotte Street Edinburgh Scotland EH2 4AN,name pattern: GP entity
NSS VI EPUT LTD,16315792,active,ltd,,14-03-2025,14-03-2025,[66300],"First Floor,  50 Marshall Street London United Kingdom W1F 9BQ",only SIC 66300 + incorporated 2024 or later
FENRIR FUND MANAGEMENT LIMITED,16316392,active,ltd,,14-03-2025,14-03-2025,[66300],00 7 Clifford Street London United Kingdom W1S 2FT,only SIC 66300 + incorporated 2024 or later
ACCRUE NOMINEES LIMITED,04088915,active,ltd,,12-10-2000,12-10-2000,[66300],4 Queen Street Bath England BA1 1HE,name pattern: nominee entity
HANDBRIDGE CONSULT LIMITED,16310365,active,ltd,,12-03-2025,12-03-2025,[66300],Apartment 8 Splash Point Apartments Rhyl United Kingdom LL18 3BF,only SIC 66300 + incorporated 2024 or later
HAMOAN WEALTH MANAGEMENT LTD,16357641,active,ltd,,01-04-2025,01-04-2025,[66300],720 Centennial Court Centennial Park Borehamwood United Kingdom WD6 3SY,only SIC 66300 + incorporated 2024 or later
SUN EUROPEAN PARTNERS MANAGEMENT LIMITED,15570123,active,ltd,,17-03-2024,17-03-2024,[66300],27 Axis Court London England SE16 4UQ,only SIC 66300 + incorporated 2024 or later
GPG CAPITAL LIMITED,15713919,active,ltd,,11-05-2024,11-05-2024,[66300],Ort House London England NW1 7ET,only SIC 66300 + incorporated 2024 or later
TWENTY TWO CAPITAL GROUP LIMITED,16332355,active,ltd,,21-03-2025,21-03-2025,[66300],Lancaster House Fountain Court Mansfield England NG19 7DW,only SIC 66300 + incorporated 2024 or later
RIVERSTONE ESTATES 2020 LIMITED,16360669,active,ltd,,02-04-2025,02-04-2025,[66300],"Westbury,  Livermore House Great Dunmow United Kingdom CM6 1AW",only SIC 66300 + incorporated 2024 or later
TRADE CAFE FX LIMITED,16364624,active,ltd,,04-04-2025,04-04-2025,[66300],38 Whitfield Road London England E6 1AS,only SIC 66300 + incorporated 2024 or later
M&G SOCIAL INVESTMENT GP1 LTD,15618023,active,ltd,,05-04-2024,05-04-2024,[66300],10 Fenchurch Avenue London United Kingdom EC3M 5AG,only SIC 66300 + incorporated 2024 or later
UEB3 LIMITED,16367000,active,ltd,,04-04-2025,04-04-2025,[66300],17 Avril Way London England E4 9HS,only SIC 66300 + incorporated 2024 or later
AI PHANTIX LTD,16368801,active,ltd,,07-04-2025,07-04-2025,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
BITAZZA TRADE LTD,16513904,active,ltd,,12-06-2025,12-06-2025,[66300],7 Second Avenue London England W3 7RX,only SIC 66300 + incorporated 2024 or later
MIG FINANCE LIMITED,16528360,active,ltd,,19-06-2025,19-06-2025,[66300],Third Floor London England W1B 3HH,only SIC 66300 + incorporated 2024 or later
AUGUST EQUITY PARTNERS V GP LIMITED,12056652,active,ltd,,18-06-2019,18-06-2019,[66300],The Floral London United Kingdom WC2E 9DP,name pattern: GP entity
LSKL LTD,16549988,active,ltd,,30-06-2025,30-06-2025,[66300],45 Hermitage Lane London England NW2 2HE,only SIC 66300 + incorporated 2024 or later
LEESIDE GROUP LIMITED,16549614,active,ltd,,30-06-2025,30-06-2025,[66300],27 Old Gloucester Street London United Kingdom WC1N 3AX,only SIC 66300 + incorporated 2024 or later
XAU TRADING SOLUTIONS LTD,SC854198,active,ltd,,01-07-2025,01-07-2025,[66300],37 Earlsburn Road Glasgow Scotland G66 5PD,only SIC 66300 + incorporated 2024 or later
LACANN 2 LIMITED,15490234,active,ltd,,14-02-2024,14-02-2024,[66300],1 Fore Street Avenue London England EC2Y 9DT,only SIC 66300 + incorporated 2024 or later
METSU CAPITAL LIMITED,16556149,active,ltd,,02-07-2025,02-07-2025,[66300],Newmarket House Nailsworth United Kingdom GL6 0DQ,only SIC 66300 + incorporated 2024 or later
PEAK VEGA CAPITAL LIMITED,16557966,active,ltd,,02-07-2025,02-07-2025,[66300],2nd Floor Malta House London England W1J 0DP,only SIC 66300 + incorporated 2024 or later
LEXHAM SPV 2 GP LTD,15422786,active,ltd,,18-01-2024,18-01-2024,[66300],47 Park Lane London England W1K 1PR,name pattern: GP entity
MC AFRICA INVESTMENT LIMITED,15421102,active,ltd,,17-01-2024,17-01-2024,[66300],Mid City Place London England WC1V 6BA,only SIC 66300 + incorporated 2024 or later
