company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
QUANTUM ENGINEERING CONSULTANCY LTD,07172848,ltd,01-03-2010,"[64303,64999,66300, 71122]",33a Norfolk Street Sunderland SR1 1EE,14.0
DUKE GODLEY FINANCIAL PLANNING LIMITED,02268794,ltd,17-06-1988,"[64999,65110,66220, 66300]",Congress House Harrow HA1 2EN,14.0
CAPITAL OIL LIMITED,05637488,ltd,28-11-2005,"[64209,64304,64999, 66300]",Office 1 Hatherton Court Walsall England WS4 2LA,14.0
SKYBOUND FINANCIAL PLANNING LIMITED,03116941,ltd,23-10-1995,"[65110,65300,66190, 66300]",Solent Business Park 4500 Parkway Fareham England PO15 7AZ,14.0
CONSULTIST LIMITED,04701671,ltd,18-03-2003,"[46900,66300,70229, 73200]",11 Middle Way Oxford England OX2 7LH,14.0
PLATINUM PURE CAPITAL LIMITED,07028208,ltd,23-09-2009,"[66120,66190, 66300]",236 Creighton Avenue London England N2 9BD,14.0
Z-VISIONS INNOVATIONS & PROJECT DEVELOPMENT LTD,08090382,ltd,31-05-2012,"[64303,64306,66300, 70229]",71-75 Shelton Street London United Kingdom WC2H 9JQ,14.0
UNITED INTERCONSULTING LIMITED,08029256,ltd,13-04-2012,"[64301,66300,70210, 70229]",85 Great Portland Street London England W1W 7LT,14.0
AITI HOLDINGS LIMITED,03949333,ltd,16-03-2000,"[66300,70221, 70229]",5th Floor 22 Eastcheap London England EC3M 1EU,14.0
BUSINESS MONEYBOX (SERVICES) LTD,07167287,ltd,24-02-2010,"[66300,68100, 70229]",117 Harlesden Road London England NW10 2BT,14.0
FAIREY ASSOCIATES LIMITED,06535124,ltd,14-03-2008,"[66190,66220,66290, 66300]",Mayfield Farm Hungerdown Lane Colchester CO7 7LZ,14.0
SAPIENTI LIMITED,07756538,ltd,30-08-2011,"[41100,66300,68209, 70229]",82a James Carter Road Officeserv Mildenhall England IP28 7DE,13.5
BEAUCLERC ADVISORY SERVICES LIMITED,07759898,ltd,02-09-2011,"[64999,66190, 66300]",20 North Audley Street London England W1K 6LX,13.5
JAY CAPITAL LTD,08386976,ltd,04-02-2013,"[64991,64999,66120, 66300]",3rd Floor Suite London England W1B 3HH,13.5
BEDROCK ASSET MANAGEMENT (UK) LTD,05171393,ltd,06-07-2004,"[66300, 70221]",33 Glasshouse Street London United Kingdom W1B 5DG,13.0
MURRAY ROUND WEALTH MANAGEMENT LIMITED,04010289,ltd,08-06-2000,"[66190,66290, 66300]",2 Claremont Bank Salop SY1 1RW,13.0
CHANTERELLE UNDERWRITING LIMITED,03853053,ltd,29-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
PARK FARM UNDERWRITING LIMITED,03848332,ltd,21-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
IAM INVEST LTD,04007950,ltd,05-06-2000,"[66300,70221, 82990]",4 Hill Street null W1J 5NE,13.0
WELLINGTON MANAGEMENT INTERNATIONAL LIMITED,04283513,ltd,07-09-2001,"[66300, 70221]",Cardinal Place London SW1E 5JL,13.0
BLACKROCK ADVISORS (UK) LIMITED,00796793,ltd,18-03-1964,"[64999, 66300]",12 Throgmorton Avenue London EC2N 2DL,13.0
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,02020394,ltd,16-05-1986,"[64999, 66300]",12 Throgmorton Avenue London EC2N 2DL,13.0
CLEAR FINANCIAL SOLUTIONS (MIDLANDS) LTD,07081690,ltd,19-11-2009,"[66190,66290, 66300]",195 Sandbed Lane Belper England DE56 0SL,13.0
HANSON ASSET MANAGEMENT LTD,07199183,ltd,23-03-2010,"[64999, 66300]",6 Arlington Street London SW1A 1RE,13.0
IAN DAVENPORT LIMITED,03848333,ltd,21-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
ALTIR UNDERWRITING LIMITED,03849926,ltd,24-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
KILLYGOWAN LIMITED,03829477,ltd,17-08-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
PB UNDERWRITING LIMITED,03852294,ltd,28-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
FORWARD UNDERWRITING LIMITED,03852289,ltd,28-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
FERRAVALE LIMITED,03641384,ltd,25-09-1998,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
YATI CAPITAL LIMITED,07049453,ltd,20-10-2009,"[66190, 66300]",50 Braeburn Mansions 5 Mary Neuner Road London England N8 0FA,13.0
A J BUCKLEY ASSET MANAGEMENT LIMITED,02730015,ltd,09-07-1992,"[64999,66190, 66300]",The Old Rectory Weybridge KT13 8DE,13.0
KING & SHAXSON ASSET MANAGEMENT LIMITED,03870667,ltd,03-11-1999,"[64999, 66300]",155 Fenchurch Street London England EC3M 6AL,13.0
KNIGHT DOLLYS LIMITED,03853046,ltd,29-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
AINSWORTH CAPITAL LIMITED,07300332,ltd,30-06-2010,"[62020,66300, 70229]",22 The Chase Reigate RH2 7DH,13.0
CAPITAL INTERNATIONAL LIMITED,01613098,ltd,11-02-1982,"[64999, 66300]",1 Paddington Square London United Kingdom W2 1GL,13.0
CREATIVE CAPITAL FUND GENERAL PARTNER LIMITED,05349344,ltd,01-02-2005,"[66300, 70229]",57g Randolph Avenue London W9 1BQ,13.0
CAPEL COURT LIMITED,02686967,ltd,12-02-1992,"[64999,66120, 66300]",The Pavilions Eden Park Bristol United Kingdom BS20 0DD,13.0
INGATESTONE GOVERNANCE AND COMPLIANCE LIMITED,07447290,ltd,22-11-2010,"[64205,64304,66300, 68100]",146 New London Road Chelmsford England CM2 0AW,13.0
APOLLO MEDIA LTD,03192726,ltd,30-04-1996,"[59111,59113,64303, 66300]",Flat 8 30 Redcliffe Square London England SW10 9JY,13.0
COMMITTED CAPITAL LIMITED,04479415,ltd,08-07-2002,"[66300, 82990]",148-150 Buckingham Palace Road London England SW1W 9TR,13.0
BANQUE CAPITAL SUISSE LTD,08041240,ltd,23-04-2012,"[64205,64999,66300, 70100]",08041240 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,13.0
SORS ASSET MANAGEMENT EUROPE LIMITED,07342518,ltd,11-08-2010,"[64999, 66300]",23 Berkeley Square London England W1J 6EJ,13.0
SELLEK WEALTH MANAGEMENT LIMITED,07243432,ltd,05-05-2010,"[66190,66290, 66300]",Hyak House Cheltenham GL54 5TH,13.0
MILBURN UNDERWRITING LIMITED,05227017,ltd,09-09-2004,"[65120,65202,65300, 66300]",5th Floor 70 Gracechurch Street London England EC3V 0XL,13.0
CAPRICORN FUND MANAGERS LIMITED,06849383,ltd,17-03-2009,"[64999, 66300]",2nd Floor Malta House London W1J 0DP,13.0
JENNER UNDERWRITING LIMITED,03849918,ltd,24-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
KILLIN UNDERWRITING LIMITED,03830302,ltd,18-08-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
INVESCO ASSET MANAGEMENT LIMITED,00949417,ltd,07-03-1969,"[66300,70100, 82990]",Perpetual Park Henley-On-Thames RG9 1HH,13.0
SCHRODER INVESTMENT MANAGEMENT LIMITED,01893220,ltd,07-03-1985,"[64999, 66300]",1 London Wall Place London England EC2Y 5AU,13.0
WELLES UNDERWRITING LIMITED,05226381,ltd,09-09-2004,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
STAR CAPITAL PARTNERS LIMITED,03862379,ltd,15-10-1999,"[66300, 82990]",15th Floor 33 Cavendish Square London England W1G 0PW,13.0
PETER JOHNSON FINANCIAL PLANNING LTD,08248086,ltd,10-10-2012,"[65110,65300,66190, 66300]",13 Trinity Square Llandudno LL30 2RB,13.0
KELVEDON INVESTMENTS LTD,07242991,ltd,04-05-2010,"[66300,70229, 82990]",14b South Park Drive Gerrards Cross United Kingdom SL9 8JH,13.0
GL INTEGRITY FINANCIAL PLANNING LTD,05814248,ltd,11-05-2006,"[64999,66290, 66300]",Bristol & Bath Science Park Bristol & Bath Science Park Bristol England BS16 7FR,13.0
POLUS CAPITAL MANAGEMENT LIMITED,04885685,ltd,03-09-2003,"[64999, 66300]",Asticus Building London United Kingdom SW1H 0AD,13.0
CAPITAL PARTNERS LONDON LIMITED,03882524,ltd,24-11-1999,"[64999,66300, 82990]",C/O Gkp Viglen House Wembley England HA0 1HD,13.0
CAPITAL DYNAMICS LIMITED,02215798,ltd,01-02-1988,"[64999, 66300]",16 St. Martin's Le Grand London England EC1A 4EN,13.0
ALTERA PARTNERS MANAGEMENT LIMITED,04945309,ltd,28-10-2003,"[64999, 66300]",Berkeley Square House 2nd Floor Berkeley Square House London England W1J 6BD,13.0
ENVIRONMENTAL FINANCE LIMITED,08195029,ltd,29-08-2012,"[64303,66300, 70229]","W106 Vox Studios,  1-45 Durham Street London England SE11 5JH",13.0
RECLAIM FUND LTD,07344884,ltd,13-08-2010,"[64999, 66300]",27 Old Gloucester Street London United Kingdom WC1N 3AX,13.0
IMPAX ASSET MANAGEMENT LIMITED,03583839,ltd,18-06-1998,"[66300, 82990]",7th Floor 30 Panton Street London England SW1Y 4AJ,13.0
SORBIETREES UNDERWRITING LIMITED,04521649,ltd,29-08-2002,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
GORE ANDREWS NAMECO LIMITED,03852297,ltd,28-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
VALENTINE UNDERWRITING LIMITED,03637376,ltd,18-09-1998,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
A G SADOWSKI UNDERWRITING LIMITED,03840766,ltd,08-09-1999,"[65120,65202,65300, 66300]",5th Floor 40 Gracechurch Street London England EC3V 0BT,13.0
FINDOMESTIC LTD,08141652,ltd,12-07-2012,"[62090,64999,66300, 70229]",08141652 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,13.0
AXM VENTURE CAPITAL LIMITED,05089856,ltd,31-03-2004,"[66300, 70229]",57g Randolph Avenue London W9 1BQ,13.0
SPARROWS CAPITAL LIMITED,08623416,ltd,24-07-2013,"[66190,66300, 70221]",35-37 Ludgate Hill London England EC4M 7JN,12.5
INGENIOUS CAPITAL MANAGEMENT LIMITED,07728908,ltd,04-08-2011,"[66300, 82990]",Myo Piccadilly London United Kingdom W1F 7BL,12.5
KHAGA LIMITED,07548762,ltd,02-03-2011,"[66300,68100,68310, 68320]",Flat 6 Fitzjohns Avenue London England NW3 6NP,12.5
SKF TRADING LIMITED,07678618,ltd,22-06-2011,"[66190, 66300]",181 Queen Victoria Street London England EC4V 4EG,12.5
FORTUNE TRADING & CONSULTANCY LTD,07501359,ltd,21-01-2011,"[64999,66300, 78109]",98 Parkway Erith England DA18 4HH,12.5
LOTUS INVESTMENT MANAGEMENT LTD,07765801,ltd,07-09-2011,"[66300, 70221]",33 Glasshouse Street London United Kingdom W1B 5DG,12.5
EPN INTERNATIONAL LIMITED,08688921,ltd,12-09-2013,"[64209,64999,66300, 68100]",103 High Street Waltham Cross England EN8 7AN,12.5
CLOUDBREAK LTD,07654377,ltd,01-06-2011,"[66300, 70229]","C/O Gorrie Whitson Limited,  1st Floor,  Cromwell House London England WC1V 6HZ",12.5
DREAM ADVERTISING LTD,09507691,ltd,25-03-2015,"[62090,64999,66300, 73110]",71-75 Shelton Street London England WC2H 9JQ,12.5
WISEST LIMITED,09541939,ltd,14-04-2015,"[64209,66300,69201, 70229]",25 Norway Gate London England SE16 7TR,12.5
CHIMARA LIMITED,08986533,ltd,08-04-2014,"[63990,64999, 66300]",124 City Road 124 City Road London United Kingdom EC1V 2NX,12.0
BORDIER & CIE (UK) PLC,01583393,plc,01-09-1981,[66300],23 King Street London SW1Y 6QY,12.0
ELLIOT FLETCHER LIMITED,05147846,ltd,08-06-2004,"[64999, 66300]",Yorkshire House 4th Floor Liverpool United Kingdom L3 9AG,12.0
FLETCHER KING INVESTMENT MANAGEMENT PLC,05862811,plc,30-06-2006,[66300],19-20 Great Pulteney Street London England W1F 9NF,12.0
COLLINS SARRI STATHAM INVESTMENTS LIMITED,06539190,ltd,19-03-2008,"[64999, 66300]",138 Fortis Green Road Muswell Hill United Kingdom N10 3DU,12.0
OMNICLOUT LIMITED,10314683,ltd,05-08-2016,"[46900,66110,66300, 70229]",2 - 8 Scrutton Street London England EC2A 4RT,12.0
INVESCO FUND MANAGERS LIMITED,00898166,ltd,14-02-1967,"[64999, 66300]",Perpetual Park Henley-On-Thames United Kingdom RG9 1HH,12.0
STARHA ENTERPRISES UK LTD,10389120,ltd,22-09-2016,"[62020,64205,66300, 70229]",32 St George Street London United Kingdom W1S 2EA,12.0
OAKRIDGE FINANCIAL PLANNING LIMITED,04477172,ltd,04-07-2002,"[65300,66220,66290, 66300]",197 Bakers Ground Bristol BS34 8GE,12.0
MARSHALL ZOING LIMITED,04615794,ltd,12-12-2002,"[66190, 66300]",Third Floor Liverpool United Kingdom L3 9SJ,12.0
SYNERGIC LINKS LIMITED,06277715,ltd,13-06-2007,"[62020,64205,65202, 66300]",164 Forum House Empire Way Wembley England HA9 0HL,12.0
AYRES PUNCHARD INVESTMENT MANAGEMENT LIMITED,06746940,ltd,11-11-2008,"[66190, 66300]",Tudor Mead Newport Road Ventnor PO38 2DF,12.0
RICHMOND SPRING CAPITAL PARTNERS LTD,10367157,ltd,09-09-2016,"[66190,66300,68100, 70229]",7 Stratford Place London England W1C 1AY,12.0
J H LOWSON & COMPANY LIMITED,08013456,ltd,30-03-2012,"[64999,66220, 66300]",16 Dalton Square Lancaster England LA1 1PL,12.0
HEDLEY & COMPANY STOCKBROKERS LIMITED,06355300,ltd,29-08-2007,"[64999, 66300]",Suite 20 Manor Court Salesbury Hall Road Preston England PR3 3XR,12.0
MAZAL E&Y LTD,06522503,ltd,04-03-2008,"[64303,66300, 68100]",35 Ballards Lane London N3 1XW,12.0
VR FINANZ E.G.,08867022,private-unlimited-nsc,29-01-2014,"[64205,66300,70221, 82990]",Companyplanet Unit Hounslow/Greater London England TW4 6JQ,12.0
CLIMATE INSULATION LIMITED,06869211,ltd,03-04-2009,"[41202,43999,66300, 96090]",Sovereign House Cheadle SK8 2EA,12.0
FINANCIAL LINK LIMITED,02106689,ltd,05-03-1987,"[64301,65110,65300, 66300]",29 Wayland Avenue Brighton England BN1 5LW,12.0
CAPDESIA GROUP LIMITED,10428605,ltd,14-10-2016,"[64303,64999,66300, 70229]",16 Great Queen Street London United Kingdom WC2B 5AH,12.0
HIP EUROPE MANAGEMENT LTD,06487588,ltd,29-01-2008,"[66300, 70221]",Dept 302 43 Owston Road Doncaster England DN6 8DA,12.0
TMS CAPITAL LIMITED,03960337,ltd,30-03-2000,"[64999, 66300]",The Innovation Centre University Way Bedford MK43 0BT,12.0
CHARLWOOD IFA LIMITED,04820268,ltd,03-07-2003,"[65110,65120,65300, 66300]",35 Seamoor Road Bournemouth BH4 9AE,12.0
REAL FOR INVESTMENT LTD.,10310154,ltd,03-08-2016,"[64304,64999,66120, 66300]",4 Greystoke Gardens London W5 1EP,12.0
SAND AIRE LIMITED,03066958,ltd,12-06-1995,"[64302,64304, 66300]",1 London Wall Place London England EC2Y 5AU,12.0
MAX OFFSHORE LIMITED,09072068,ltd,05-06-2014,"[63110,64304,66300, 70229]",364 West Road Newcastle Upon Tyne United Kingdom NE4 9JY,12.0
FINDON HOUSE LIMITED,10475767,ltd,14-11-2016,"[64209,64304,64999, 66300]",4 Wimbledon Close London England SW20 8HW,12.0
RED BOX SERVICES (UK) LTD,09001123,ltd,17-04-2014,"[23990,66300, 70229]",71-75 Shelton Street London WC2H 9JQ,12.0
EVOLVE CONSULTING UK LIMITED,04387680,ltd,05-03-2002,"[66300,68320, 78109]",607 Corson House City Island Way London England E14 0TL,12.0
FORESIGHT ENTERPRISE VCT PLC,03506579,plc,03-02-1998,[66300],The Shard London SE1 9SG,12.0
JOINT VENTURES (INVESTMENTS) LIMITED,04381821,ltd,26-02-2002,"[66300,68100,68209, 68320]",23 Canons Close Radlett WD7 7ER,12.0
FS FIRST SOLUTIONS LIMITED,08006945,ltd,26-03-2012,"[64999, 66300]",37th Floor 1 Canada Square London United Kingdom E14 5AA,12.0
UTILITIES INVESTMENT RESEARCH LIMITED,03034260,ltd,17-03-1995,"[64999, 66300]",58 Southdean Gardens null SW19 6NU,12.0
RACEFIELDS LTD,06718275,ltd,08-10-2008,"[66190, 66300]",Highlands House Highlands Oldham England OL2 5HP,12.0
MENEXCEL LIMITED,07974625,ltd,02-03-2012,"[64209,64303,66300, 72190]",85a Creffield Road London W3 9PU,12.0
SOURCE OF INSPIRATION LIMITED,02957266,ltd,10-08-1994,"[66300, 70229]",5 Hawley Drive Altrincham England WA15 0DP,12.0
MATTHEW J STOREY LIMITED,05526019,ltd,02-08-2005,"[64999, 66300]",Upper Farm Chippenham England SN14 7AG,12.0
FORESIGHT VCT PLC,03421340,plc,19-08-1997,[66300],C/O Foresight Group Llp The Shard London United Kingdom SE1 9SG,12.0
IMPERIAL ARBITRAGE CAPITAL LIMITED,10530467,ltd,17-12-2016,"[64205,64304,64999, 66300]",28 Barlow Drive London United Kingdom SE18 4NE,12.0
GATEWAY FINANCIAL ADVISERS (UK) LTD,07261628,ltd,21-05-2010,"[64302,65110,65300, 66300]",170 Upper New Walk Leicester LE1 7QA,12.0
EGOY DISTRIBUTION LIMITED,08702913,ltd,24-09-2013,"[66300, 70229]",Care Of Goldwins Ltd London England NW6 2EG,11.5
LOGEX LTD,11126296,ltd,28-12-2017,"[64303,64304,66190, 66300]","Studio No. 28,  138 Marylebone Road London England NW1 5PH",11.5
SINCLAIR ADVISORY SERVICES LTD.,07595733,ltd,07-04-2011,"[47910,58190,66300, 90030]",Elklands Petworth England GU28 0EA,11.5
DIGICROP TECHNOLOGIES LTD.,10583740,ltd,25-01-2017,"[66300,70210,70221, 70229]",71-75 Shelton Street London England WC2H 9JQ,11.5
INVESTING IN YOUR FUTURE LIMITED,08416754,ltd,25-02-2013,"[46341,46342,64191, 66300]",36 Westlake Rotherhithe New Road London SE16 2BW,11.5
GLADMAX GROUP LIMITED,10790521,ltd,26-05-2017,"[66300,68100,70100, 82990]",31 Belson Road London England SE18 5PU,11.5
SIMPLY EFFECTIVE SOLUTIONS LTD,SC497134,ltd,06-02-2015,"[66300,70100,70229, 82990]",SC497134 - COMPANIES HOUSE DEFAULT ADDRESS Edinburgh EH7 9HR,11.5
HAVISHAM ASSETS LIMITED,08379611,ltd,29-01-2013,"[56102,66300, 70229]",Level 12 Thames Tower Reading England RG1 1LX,11.5
SYMVAN CAPITAL LIMITED,08772369,ltd,12-11-2013,"[64999, 66300]",2 London Wall Place London England EC2Y 5AU,11.5
ADVON SOLUTIONS LIMITED,11088559,ltd,29-11-2017,"[62020,66300,68320, 70229]",2 Trevor Road London England SW19 3PW,11.5
DP SUPPORT SERVICES C.I.C.,07645482,ltd,24-05-2011,"[66300,78300,82110, 97000]",24 The Firlands Redcar TS11 7AE,11.5
SHANTI CONSULTING LIMITED,10738600,ltd,25-04-2017,"[66210,66300,69201, 70229]",81 London Road Leicester England LE2 0PF,11.5
IMPAX ASSET MANAGEMENT (AIFM) LIMITED,08819010,ltd,18-12-2013,"[66300, 82990]",7th Floor 30 Panton Street London England SW1Y 4AJ,11.5
WEITZMAN & JOHNSON WEALTH PLANNERS LTD,08410818,ltd,20-02-2013,"[66190, 66300]",Churchill House London England NW4 4DJ,11.5
B&E CONSULT LIMITED,11091013,ltd,01-12-2017,"[66300,68100,68320, 70229]",Level 3 207 Regent Street London United Kingdom W1B 3HH,11.5
AFLAX LTD,06887676,ltd,24-04-2009,"[66300, 82302]",Suite 58 Princes Court London England SW3 1ET,11.0
UPSILON BETA INVESTMENT LTD,07996938,ltd,20-03-2012,"[20110,46900,66300, 70100]",3 Chapel Street Congleton England CW12 4AB,11.0
C M WHITE INVESTMENTS LIMITED,02399561,ltd,29-06-1989,"[55900, 66300]","Arbor C/O Winckworth Sherwood,  Arbor London United Kingdom SE1 9AX",11.0
BARGAIN MUNKY LIMITED,09133268,ltd,16-07-2014,"[66120,66190, 66300]",49 Albion Road Birmingham England B21 8BG,11.0
PROJECT XYZ LIMITED,10346473,ltd,25-08-2016,"[64999,66300, 70229]",71-75 Shelton Street Covent Garden London United Kingdom WC2H 9JQ,11.0
INVESTMENT WISE LIMITED,10354965,ltd,01-09-2016,"[46190,64304,64999, 66300]",52 Marsham Street Maidstone England ME14 1HH,11.0
THREADNEEDLE PENSIONS LIMITED,00984167,ltd,09-07-1970,"[65110, 66300]",Cannon Place London EC4N 6AG,11.0
THREADNEEDLE ASSET MANAGEMENT LIMITED,00573204,ltd,22-10-1956,"[66120, 66300]",Cannon Place London EC4N 6AG,11.0
SUNDELL LIMITED,11383586,ltd,25-05-2018,"[64910,64999,66110, 66300]",27 Old Gloucester Street London United Kingdom WC1N 3AX,11.0
AXA INVESTMENT MANAGERS UK LIMITED,01431068,ltd,19-06-1979,"[66120, 66300]",22 Bishopsgate London United Kingdom EC2N 4BQ,11.0
AXA INVESTMENT MANAGERS GS LIMITED,03601496,ltd,21-07-1998,"[66120, 66300]",22 Bishopsgate London United Kingdom EC2N 4BQ,11.0
VIJAY ASSOCIATES LIMITED,03380291,ltd,03-06-1997,"[61900,66300, 85600]",24 Gatehill Road Northwood England HA6 3QD,11.0
HALLMARK CORPORATE FINANCE LTD,11622352,ltd,15-10-2018,"[64999,66190,66300, 70221]",31 Belson Road London England SE18 5PU,11.0
SOCIAL LOGIC LTD,11675749,ltd,13-11-2018,"[64303,66300,70229, 73110]",101 Corson House City Island Way London England E14 0TL,11.0
SOLD IT ONLINE LIMITED,11161877,ltd,22-01-2018,"[64209,64304,64999, 66300]",4 Wimbledon Close London England SW20 8HW,11.0
SOVEREIGN ASSETS & INVESTMENTS LIMITED,07975354,ltd,05-03-2012,"[66110,66300, 68320]",6 Barnfield Place London England E14 9YA,11.0
ROSSINGTON WEALTH MANAGEMENT LTD,09937771,ltd,06-01-2016,"[66190,66220,66290, 66300]",3 Crickets Drive Lincoln England LN2 2GS,11.0
ALPHA TELECOMMUNICATIONS LIMITED,07051047,ltd,20-10-2009,"[61900,66120, 66300]",118 Park Avenue Barking England IG11 8QX,11.0
LONDON CAPITAL INTERNATIONAL LTD,11385866,ltd,29-05-2018,"[47770,66300,70229, 78109]",128 City Road London United Kingdom EC1V 2NX,11.0
FUNDROCK PARTNERS LIMITED,04162989,ltd,19-02-2001,"[64302,64304, 66300]",Hamilton Centre Chelmsford England CM1 3BY,11.0
OXFORD TECHNOLOGY 2 VENTURE CAPITAL TRUST PLC,03928569,plc,18-02-2000,[66300],Magdalen Centre Oxford OX4 4GA,11.0
DAKSFIRST LIMITED,11626401,ltd,16-10-2018,"[64991,64999,66300, 70221]",8 Hill Street London England W1J 5NG,11.0
RLUM LIMITED,02369965,ltd,10-04-1989,"[64302, 66300]",80 Fenchurch Street London United Kingdom EC3M 4BY,11.0
